Datetime,Temp.clr,EC.clr
6/22/18 14:00,3.98,
6/22/18 14:15,4.19,
6/22/18 14:30,4.25,
6/22/18 14:45,4.32,
6/22/18 15:00,4.4,
6/22/18 15:15,4.37,
6/22/18 15:30,4.25,
6/22/18 15:45,4.04,
6/22/18 16:00,4.03,
6/22/18 16:15,3.96,
6/22/18 16:30,3.83,
6/22/18 16:45,3.67,
6/22/18 17:00,3.48,
6/22/18 17:15,3.34,
6/22/18 17:30,3.22,
6/22/18 17:45,3.15,
6/22/18 18:00,3.08,
6/22/18 18:15,2.99,
6/22/18 18:30,2.87,
6/22/18 18:45,2.77,
6/22/18 19:00,2.67,
6/22/18 19:15,2.6,
6/22/18 19:30,2.52,
6/22/18 19:45,2.47,
6/22/18 20:00,2.43,
6/22/18 20:15,2.4,
6/22/18 20:30,2.35,
6/22/18 20:45,2.3,
6/22/18 21:00,2.28,
6/22/18 21:15,2.25,
6/22/18 21:30,2.19,
6/22/18 21:45,2.1,
6/22/18 22:00,2.04,
6/22/18 22:15,1.98,
6/22/18 22:30,1.91,
6/22/18 22:45,1.9,
6/22/18 23:00,1.84,
6/22/18 23:15,1.82,
6/22/18 23:30,1.81,
6/22/18 23:45,1.78,
6/23/18 0:00,1.79,
6/23/18 0:15,1.81,
6/23/18 0:30,1.82,
6/23/18 0:45,1.83,
6/23/18 1:00,1.84,
6/23/18 1:15,1.84,
6/23/18 1:30,1.82,
6/23/18 1:45,1.79,
6/23/18 2:00,1.78,
6/23/18 2:15,1.76,
6/23/18 2:30,1.74,
6/23/18 2:45,1.7,
6/23/18 3:00,1.68,
6/23/18 3:15,1.64,
6/23/18 3:30,1.62,
6/23/18 3:45,1.61,
6/23/18 4:00,1.6,
6/23/18 4:15,1.57,
6/23/18 4:30,1.56,
6/23/18 4:45,1.55,
6/23/18 5:00,1.55,
6/23/18 5:15,1.55,
6/23/18 5:30,1.56,
6/23/18 5:45,1.57,
6/23/18 6:00,1.59,
6/23/18 6:15,1.61,
6/23/18 6:30,1.64,
6/23/18 6:45,1.7,
6/23/18 7:00,1.77,
6/23/18 7:15,1.84,
6/23/18 7:30,1.94,
6/23/18 7:45,2.06,
6/23/18 8:00,2.19,
6/23/18 8:15,2.34,
6/23/18 8:30,2.48,
6/23/18 8:45,2.52,
6/23/18 9:00,2.52,
6/23/18 9:15,2.5,
6/23/18 9:30,2.51,
6/23/18 9:45,2.49,
6/23/18 10:00,2.52,
6/23/18 10:15,2.57,
6/23/18 10:30,2.64,
6/23/18 10:45,2.89,
6/23/18 11:00,3.17,
6/23/18 11:15,3.28,
6/23/18 11:30,3.19,
6/23/18 11:45,3.29,
6/23/18 12:00,3.18,
6/23/18 12:15,3.03,
6/23/18 12:30,3.16,
6/23/18 12:45,3.32,
6/23/18 13:00,3.4,
6/23/18 13:15,3.47,
6/23/18 13:30,3.63,
6/23/18 13:45,3.97,
6/23/18 14:00,3.99,
6/23/18 14:15,3.67,
6/23/18 14:30,3.56,
6/23/18 14:45,3.68,
6/23/18 15:00,3.52,
6/23/18 15:15,3.32,
6/23/18 15:30,3.24,
6/23/18 15:45,3.26,
6/23/18 16:00,3.21,
6/23/18 16:15,3.12,
6/23/18 16:30,3.06,
6/23/18 16:45,2.95,
6/23/18 17:00,2.85,
6/23/18 17:15,2.73,
6/23/18 17:30,2.66,
6/23/18 17:45,2.59,
6/23/18 18:00,2.52,
6/23/18 18:15,2.45,
6/23/18 18:30,2.38,
6/23/18 18:45,2.33,
6/23/18 19:00,2.26,
6/23/18 19:15,2.18,
6/23/18 19:30,2.08,
6/23/18 19:45,1.98,
6/23/18 20:00,1.9,
6/23/18 20:15,1.79,
6/23/18 20:30,1.71,
6/23/18 20:45,1.64,
6/23/18 21:00,1.63,
6/23/18 21:15,1.6,
6/23/18 21:30,1.57,
6/23/18 21:45,1.52,
6/23/18 22:00,1.49,
6/23/18 22:15,1.48,
6/23/18 22:30,1.46,
6/23/18 22:45,1.42,
6/23/18 23:00,1.4,
6/23/18 23:15,1.39,
6/23/18 23:30,1.37,
6/23/18 23:45,1.35,
6/24/18 0:00,1.27,
6/24/18 0:15,1.22,
6/24/18 0:30,1.18,
6/24/18 0:45,1.16,
6/24/18 1:00,1.15,
6/24/18 1:15,1.16,
6/24/18 1:30,1.14,
6/24/18 1:45,1.12,
6/24/18 2:00,1.11,
6/24/18 2:15,1.1,
6/24/18 2:30,1.1,
6/24/18 2:45,1.1,
6/24/18 3:00,1.09,
6/24/18 3:15,1.05,
6/24/18 3:30,1.03,
6/24/18 3:45,1,
6/24/18 4:00,0.96,
6/24/18 4:15,0.94,
6/24/18 4:30,0.93,
6/24/18 4:45,0.94,
6/24/18 5:00,0.98,
6/24/18 5:15,1.02,
6/24/18 5:30,1.04,
6/24/18 5:45,1.07,
6/24/18 6:00,1.07,
6/24/18 6:15,1.03,
6/24/18 6:30,0.96,
6/24/18 6:45,0.92,
6/24/18 7:00,0.87,
6/24/18 7:15,0.86,
6/24/18 7:30,0.9,
6/24/18 7:45,0.96,
6/24/18 8:00,1.05,
6/24/18 8:15,1.15,
6/24/18 8:30,1.31,
6/24/18 8:45,1.48,
6/24/18 9:00,1.69,
6/24/18 9:15,1.93,
6/24/18 9:30,2.21,
6/24/18 9:45,2.5,
6/24/18 10:00,2.81,
6/24/18 10:15,3.18,
6/24/18 10:30,3.45,
6/24/18 10:45,3.07,
6/24/18 11:00,2.73,
6/24/18 11:15,2.55,
6/24/18 11:30,2.99,
6/24/18 11:45,3.5,
6/24/18 12:00,3.83,
6/24/18 12:15,4.09,
6/24/18 12:30,4.27,
6/24/18 12:45,4.46,
6/24/18 13:00,4.59,
6/24/18 13:15,4.69,
6/24/18 13:30,4.73,
6/24/18 13:45,4.79,
6/24/18 14:00,4.84,
6/24/18 14:15,4.89,
6/24/18 14:30,4.8,
6/24/18 14:45,4.76,
6/24/18 15:00,4.73,
6/24/18 15:15,4.72,
6/24/18 15:30,4.65,
6/24/18 15:45,4.56,
6/24/18 16:00,4.46,
6/24/18 16:15,4.33,
6/24/18 16:30,4.14,
6/24/18 16:45,4,
6/24/18 17:00,3.84,
6/24/18 17:15,3.68,
6/24/18 17:30,3.54,
6/24/18 17:45,3.48,
6/24/18 18:00,3.43,
6/24/18 18:15,3.39,
6/24/18 18:30,3.33,
6/24/18 18:45,3.25,
6/24/18 19:00,3.16,
6/24/18 19:15,3.07,
6/24/18 19:30,2.99,
6/24/18 19:45,2.89,
6/24/18 20:00,2.74,
6/24/18 20:15,2.44,
6/24/18 20:30,2.55,
6/24/18 20:45,2.6,
6/24/18 21:00,2.58,
6/24/18 21:15,2.55,
6/24/18 21:30,2.52,
6/24/18 21:45,2.47,
6/24/18 22:00,2.47,
6/24/18 22:15,2.45,
6/24/18 22:30,2.4,
6/24/18 22:45,2.3,
6/24/18 23:00,2.22,
6/24/18 23:15,2.15,
6/24/18 23:30,2.11,
6/24/18 23:45,2.07,
6/25/18 0:00,2.03,
6/25/18 0:15,1.99,
6/25/18 0:30,1.93,
6/25/18 0:45,1.9,
6/25/18 1:00,1.84,
6/25/18 1:15,1.79,
6/25/18 1:30,1.76,
6/25/18 1:45,1.76,
6/25/18 2:00,1.74,
6/25/18 2:15,1.71,
6/25/18 2:30,1.71,
6/25/18 2:45,1.7,
6/25/18 3:00,1.69,
6/25/18 3:15,1.7,
6/25/18 3:30,1.68,
6/25/18 3:45,1.67,
6/25/18 4:00,1.67,
6/25/18 4:15,1.68,
6/25/18 4:30,1.68,
6/25/18 4:45,1.66,
6/25/18 5:00,1.63,
6/25/18 5:15,1.62,
6/25/18 5:30,1.57,
6/25/18 5:45,1.51,
6/25/18 6:00,1.4,
6/25/18 6:15,1.31,
6/25/18 6:30,1.25,
6/25/18 6:45,1.22,
6/25/18 7:00,1.19,
6/25/18 7:15,1.19,
6/25/18 7:30,1.25,
6/25/18 7:45,1.31,
6/25/18 8:00,1.4,
6/25/18 8:15,1.53,
6/25/18 8:30,1.68,
6/25/18 8:45,1.86,
6/25/18 9:00,2.06,
6/25/18 9:15,2.27,
6/25/18 9:30,2.5,
6/25/18 9:45,2.8,
6/25/18 10:00,3.09,
6/25/18 10:15,3.34,
6/25/18 10:30,3.59,
6/25/18 10:45,3.81,
6/25/18 11:00,4.04,
6/25/18 11:15,4.25,
6/25/18 11:30,4.46,
6/25/18 11:45,4.61,
6/25/18 12:00,4.77,
6/25/18 12:15,4.89,
6/25/18 12:30,5.05,
6/25/18 12:45,5.15,
6/25/18 13:00,5.27,
6/25/18 13:15,5.32,
6/25/18 13:30,5.39,
6/25/18 13:45,5.44,
6/25/18 14:00,5.45,
6/25/18 14:15,5.42,
6/25/18 14:30,5.33,
6/25/18 14:45,5.31,
6/25/18 15:00,5.23,
6/25/18 15:15,5.15,
6/25/18 15:30,5.05,
6/25/18 15:45,4.95,
6/25/18 16:00,4.81,
6/25/18 16:15,4.64,
6/25/18 16:30,4.5,
6/25/18 16:45,4.34,
6/25/18 17:00,4.19,
6/25/18 17:15,4.02,
6/25/18 17:30,3.83,
6/25/18 17:45,3.66,
6/25/18 18:00,3.52,
6/25/18 18:15,3.32,
6/25/18 18:30,3.16,
6/25/18 18:45,3.01,
6/25/18 19:00,2.87,
6/25/18 19:15,2.75,
6/25/18 19:30,2.67,
6/25/18 19:45,2.64,
6/25/18 20:00,2.59,
6/25/18 20:15,2.51,
6/25/18 20:30,2.43,
6/25/18 20:45,2.37,
6/25/18 21:00,2.34,
6/25/18 21:15,2.3,
6/25/18 21:30,2.25,
6/25/18 21:45,2.2,
6/25/18 22:00,2.15,
6/25/18 22:15,2.08,
6/25/18 22:30,2.03,
6/25/18 22:45,1.99,
6/25/18 23:00,1.93,
6/25/18 23:15,1.92,
6/25/18 23:30,1.91,
6/25/18 23:45,1.88,
6/26/18 0:00,1.88,
6/26/18 0:15,1.88,
6/26/18 0:30,1.88,
6/26/18 0:45,1.85,
