Datetime,Temp.din1,EC.din1
6/23/18 13:30,0.34,
6/23/18 13:45,0.35,
6/23/18 14:00,0.34,
6/23/18 14:15,0.35,
6/23/18 14:30,0.4,
6/23/18 14:45,0.34,
6/23/18 15:00,0.34,
6/23/18 15:15,0.34,
6/23/18 15:30,0.35,
6/23/18 15:45,0.36,
6/23/18 16:00,0.38,
6/23/18 16:15,0.38,
6/23/18 16:30,0.39,
6/23/18 16:45,0.39,
6/23/18 17:00,0.38,
6/23/18 17:15,0.39,
6/23/18 17:30,0.38,
6/23/18 17:45,0.39,
6/23/18 18:00,0.38,
6/23/18 18:15,0.39,
6/23/18 18:30,0.39,
6/23/18 18:45,0.39,
6/23/18 19:00,0.38,
6/23/18 19:15,0.4,
6/23/18 19:30,0.39,
6/23/18 19:45,0.38,
6/23/18 20:00,0.39,
6/23/18 20:15,0.39,
6/23/18 20:30,0.39,
6/23/18 20:45,0.39,
6/23/18 21:00,0.39,
6/23/18 21:15,0.39,
6/23/18 21:30,0.39,
6/23/18 21:45,0.39,
6/23/18 22:00,0.38,
6/23/18 22:15,0.38,
6/23/18 22:30,0.38,
6/23/18 22:45,0.38,
6/23/18 23:00,0.38,
6/23/18 23:15,0.38,
6/23/18 23:30,0.38,
6/23/18 23:45,0.38,
6/24/18 0:00,0.36,
6/24/18 0:15,0.35,
6/24/18 0:30,0.35,
6/24/18 0:45,0.35,
6/24/18 1:00,0.35,
6/24/18 1:15,0.35,
6/24/18 1:30,0.33,
6/24/18 1:45,0.34,
6/24/18 2:00,0.33,
6/24/18 2:15,0.33,
6/24/18 2:30,0.32,
6/24/18 2:45,0.32,
6/24/18 3:00,0.29,
6/24/18 3:15,0.29,
6/24/18 3:30,0.29,
6/24/18 3:45,0.28,
6/24/18 4:00,0.28,
6/24/18 4:15,0.28,
6/24/18 4:30,0.27,
6/24/18 4:45,0.27,
6/24/18 5:00,0.27,
6/24/18 5:15,0.27,
6/24/18 5:30,0.26,
6/24/18 5:45,0.26,
6/24/18 6:00,0.25,
6/24/18 6:15,0.24,
6/24/18 6:30,0.25,
6/24/18 6:45,0.24,
6/24/18 7:00,0.22,
6/24/18 7:15,0.24,
6/24/18 7:30,0.22,
6/24/18 7:45,0.22,
6/24/18 8:00,0.25,
6/24/18 8:15,0.26,
6/24/18 8:30,0.27,
6/24/18 8:45,0.27,
6/24/18 9:00,0.28,
6/24/18 9:15,0.29,
6/24/18 9:30,0.28,
6/24/18 9:45,0.27,
6/24/18 10:00,0.31,
6/24/18 10:15,0.33,
6/24/18 10:30,0.32,
6/24/18 10:45,0.36,
6/24/18 11:00,0.36,
6/24/18 11:15,0.36,
6/24/18 11:30,0.38,
6/24/18 11:45,0.39,
6/24/18 12:00,0.4,
6/24/18 12:15,0.41,
6/24/18 12:30,0.41,
6/24/18 12:45,0.42,
6/24/18 13:00,0.43,
6/24/18 13:15,0.45,
6/24/18 13:30,0.45,
6/24/18 13:45,0.47,
6/24/18 14:00,0.47,
6/24/18 14:15,0.48,
6/24/18 14:30,0.49,
6/24/18 14:45,0.5,
6/24/18 15:00,0.45,
6/24/18 15:15,0.49,
6/24/18 15:30,0.43,
6/24/18 15:45,0.46,
6/24/18 16:00,0.5,
6/24/18 16:15,0.47,
6/24/18 16:30,0.47,
6/24/18 16:45,0.48,
6/24/18 17:00,0.48,
6/24/18 17:15,0.53,
6/24/18 17:30,0.48,
6/24/18 17:45,0.49,
6/24/18 18:00,0.52,
6/24/18 18:15,0.52,
6/24/18 18:30,0.53,
6/24/18 18:45,0.54,
6/24/18 19:00,0.55,
6/24/18 19:15,0.55,
6/24/18 19:30,0.56,
6/24/18 19:45,0.56,
6/24/18 20:00,0.57,
6/24/18 20:15,0.59,
6/24/18 20:30,0.6,
6/24/18 20:45,0.6,
6/24/18 21:00,0.61,
6/24/18 21:15,0.61,
6/24/18 21:30,0.61,
6/24/18 21:45,0.61,
6/24/18 22:00,0.61,
6/24/18 22:15,0.61,
6/24/18 22:30,0.61,
6/24/18 22:45,0.6,
6/24/18 23:00,0.59,
6/24/18 23:15,0.59,
6/24/18 23:30,0.57,
6/24/18 23:45,0.57,
6/25/18 0:00,0.57,
6/25/18 0:15,0.57,
6/25/18 0:30,0.56,
6/25/18 0:45,0.56,
6/25/18 1:00,0.55,
6/25/18 1:15,0.54,
6/25/18 1:30,0.53,
6/25/18 1:45,0.53,
6/25/18 2:00,0.52,
6/25/18 2:15,0.5,
6/25/18 2:30,0.49,
6/25/18 2:45,0.49,
6/25/18 3:00,0.48,
6/25/18 3:15,0.46,
6/25/18 3:30,0.46,
6/25/18 3:45,0.46,
6/25/18 4:00,0.45,
6/25/18 4:15,0.42,
6/25/18 4:30,0.41,
6/25/18 4:45,0.4,
6/25/18 5:00,0.39,
6/25/18 5:15,0.38,
6/25/18 5:30,0.36,
6/25/18 5:45,0.35,
6/25/18 6:00,0.34,
6/25/18 6:15,0.35,
6/25/18 6:30,0.34,
6/25/18 6:45,0.33,
6/25/18 7:00,0.33,
6/25/18 7:15,0.31,
6/25/18 7:30,0.32,
6/25/18 7:45,0.31,
6/25/18 8:00,0.33,
6/25/18 8:15,0.33,
6/25/18 8:30,0.34,
6/25/18 8:45,0.35,
6/25/18 9:00,0.34,
6/25/18 9:15,0.35,
6/25/18 9:30,0.36,
6/25/18 9:45,0.36,
6/25/18 10:00,0.38,
6/25/18 10:15,0.39,
6/25/18 10:30,0.41,
6/25/18 10:45,0.41,
6/25/18 11:00,0.43,
6/25/18 11:15,0.43,
6/25/18 11:30,0.47,
6/25/18 11:45,0.48,
6/25/18 12:00,0.48,
6/25/18 12:15,0.5,
6/25/18 12:30,0.52,
6/25/18 12:45,0.53,
6/25/18 13:00,0.54,
6/25/18 13:15,0.55,
6/25/18 13:30,0.57,
6/25/18 13:45,0.57,
6/25/18 14:00,0.57,
6/25/18 14:15,0.6,
6/25/18 14:30,0.61,
6/25/18 14:45,0.62,
6/25/18 15:00,0.64,
6/25/18 15:15,0.66,
6/25/18 15:30,0.66,
6/25/18 15:45,0.68,
6/25/18 16:00,0.68,
6/25/18 16:15,0.69,
6/25/18 16:30,0.69,
6/25/18 16:45,0.7,
6/25/18 17:00,0.71,
6/25/18 17:15,0.71,
6/25/18 17:30,0.73,
6/25/18 17:45,0.73,
6/25/18 18:00,0.7,
6/25/18 18:15,0.7,
6/25/18 18:30,0.71,
6/25/18 18:45,0.73,
6/25/18 19:00,0.73,
6/25/18 19:15,0.75,
6/25/18 19:30,0.76,
6/25/18 19:45,0.76,
6/25/18 20:00,0.76,
6/25/18 20:15,0.76,
6/25/18 20:30,0.76,
