Datetime,Temp,EC
6/25/18 17:15,9.56,11.4
6/25/18 17:30,9.58,11.6
6/25/18 17:45,9.58,11.6
6/25/18 18:00,9.55,11.6
6/25/18 18:15,9.54,11.6
6/25/18 18:30,9.55,11.3
6/25/18 18:45,9.58,11.6
6/25/18 19:00,9.54,11.7
6/25/18 19:15,9.5,11.6
6/25/18 19:30,9.47,11.3
6/25/18 19:45,9.43,11.3
6/25/18 20:00,9.34,11.6
6/25/18 20:15,9.28,11.4
6/25/18 20:30,9.22,11.5
6/25/18 20:45,9.19,11.4
6/25/18 21:00,9.15,11.4
6/25/18 21:15,9.1,11.7
6/25/18 21:30,9.04,11.7
6/25/18 21:45,9.02,11.4
6/25/18 22:00,8.94,11.5
6/25/18 22:15,8.86,11.6
6/25/18 22:30,8.76,11.5
6/25/18 22:45,8.73,11.5
6/25/18 23:00,8.65,11.6
6/25/18 23:15,8.64,11.6
6/25/18 23:30,8.57,11.4
6/25/18 23:45,8.49,11.6
6/26/18 0:00,8.44,11.6
6/26/18 0:15,8.4,11.5
6/26/18 0:30,8.4,11.5
6/26/18 0:45,8.36,11.5
6/26/18 1:00,8.33,11.7
6/26/18 1:15,8.33,11.5
6/26/18 1:30,8.28,11.7
6/26/18 1:45,8.21,11.5
6/26/18 2:00,8.23,11.5
6/26/18 2:15,8.15,11.6
6/26/18 2:30,8.09,11.4
6/26/18 2:45,8.03,11.5
6/26/18 3:00,8.01,11.5
6/26/18 3:15,7.95,11.5
6/26/18 3:30,7.91,11.5
6/26/18 3:45,7.85,11.5
6/26/18 4:00,7.84,11.5
6/26/18 4:15,7.8,11.5
6/26/18 4:30,7.81,11.5
6/26/18 4:45,7.82,11.5
6/26/18 5:00,7.76,11.5
6/26/18 5:15,7.8,11.5
6/26/18 5:30,7.66,11.6
6/26/18 5:45,7.57,11.6
6/26/18 6:00,7.56,11.6
6/26/18 6:15,7.5,11.5
6/26/18 6:30,7.45,11.5
6/26/18 6:45,7.41,11.5
6/26/18 7:00,7.33,11.7
6/26/18 7:15,7.26,11.6
6/26/18 7:30,7.28,11.7
6/26/18 7:45,7.29,11.7
6/26/18 8:00,7.32,11.5
6/26/18 8:15,7.34,11.7
6/26/18 8:30,7.41,11.5
6/26/18 8:45,7.48,11.6
6/26/18 9:00,7.56,11.6
6/26/18 9:15,7.6,11.6
6/26/18 9:30,7.78,11.5
6/26/18 9:45,7.81,11.5
6/26/18 10:00,7.92,11.5
6/26/18 10:15,8.01,11.5
6/26/18 10:30,8.07,11.4
6/26/18 10:45,8.19,11.4
6/26/18 11:00,8.27,11.5
6/26/18 11:15,8.45,11.3
6/26/18 11:30,8.51,11.5
6/26/18 11:45,8.67,11.4
6/26/18 12:00,8.68,11.5
6/26/18 12:15,8.83,11.4
6/26/18 12:30,8.9,11.5
6/26/18 12:45,9.03,11.4
6/26/18 13:00,9.11,11.4
6/26/18 13:15,9.22,11.4
6/26/18 13:30,9.35,11.5
6/26/18 13:45,9.4,11.3
6/26/18 14:00,9.44,11.3
6/26/18 14:15,9.54,11.3
6/26/18 14:30,9.64,11.5
6/26/18 14:45,9.63,11.3
6/26/18 15:00,9.68,11.5
6/26/18 15:15,9.67,11.2
6/26/18 15:30,9.72,11.4
6/26/18 15:45,9.74,11.2
6/26/18 16:00,9.7,11.2
6/26/18 16:15,9.74,11.2
6/26/18 16:30,9.79,11.5
6/26/18 16:45,9.71,11.2
6/26/18 17:00,9.64,11.2
6/26/18 17:15,9.6,11.3
6/26/18 17:30,9.58,11.3
6/26/18 17:45,9.56,11.3
6/26/18 18:00,9.46,11.3
6/26/18 18:15,9.39,11.3
6/26/18 18:30,9.35,11
6/26/18 18:45,9.31,11.4
6/26/18 19:00,9.24,11.4
6/26/18 19:15,9.18,11.2
6/26/18 19:30,9.11,11.1
6/26/18 19:45,9.06,11.3
6/26/18 20:00,8.91,11.3
6/26/18 20:15,8.91,11
6/26/18 20:30,8.8,11.2
6/26/18 20:45,8.75,11.2
6/26/18 21:00,8.68,11.3
6/26/18 21:15,8.57,11.4
6/26/18 21:30,8.49,11.3
6/26/18 21:45,8.47,11.3
6/26/18 22:00,8.43,11.3
6/26/18 22:15,8.36,11.4
6/26/18 22:30,8.29,11.4
6/26/18 22:45,8.28,11.4
6/26/18 23:00,8.31,11.4
6/26/18 23:15,8.27,11.4
6/26/18 23:30,8.2,11.4
6/26/18 23:45,8.17,11.4
6/27/18 0:00,8.2,11.4
6/27/18 0:15,8.13,11.4
6/27/18 0:30,8.19,11.4
6/27/18 0:45,8.07,11.4
6/27/18 1:00,8.03,11.5
6/27/18 1:15,8.08,11.4
6/27/18 1:30,8.07,11.4
6/27/18 1:45,8.08,11.4
6/27/18 2:00,7.93,11.5
6/27/18 2:15,7.95,11.5
6/27/18 2:30,8,11.5
6/27/18 2:45,8.01,11.5
6/27/18 3:00,7.97,11.5
6/27/18 3:15,7.91,11.5
6/27/18 3:30,7.85,11.5
6/27/18 3:45,7.89,11.5
6/27/18 4:00,7.81,11.5
6/27/18 4:15,7.89,11.5
6/27/18 4:30,7.85,11.4
6/27/18 4:45,7.77,11.4
6/27/18 5:00,7.81,11.5
6/27/18 5:15,7.76,11.4
6/27/18 5:30,7.8,11.2
6/27/18 5:45,7.68,11.4
6/27/18 6:00,7.65,11.4
6/27/18 6:15,7.72,11.4
6/27/18 6:30,7.65,11.4
6/27/18 6:45,7.62,11.4
6/27/18 7:00,7.65,11.3
6/27/18 7:15,7.53,11.5
6/27/18 7:30,7.54,11.5
6/27/18 7:45,7.62,11.3
6/27/18 8:00,7.64,11.3
6/27/18 8:15,7.64,11.3
6/27/18 8:30,7.66,11.4
6/27/18 8:45,7.84,11.1
6/27/18 9:00,7.76,11.4
6/27/18 9:15,7.85,11.4
6/27/18 9:30,7.96,11.2
6/27/18 9:45,8.07,11.3
6/27/18 10:00,8.16,11.3
6/27/18 10:15,8.31,11.4
6/27/18 10:30,8.32,11.4
6/27/18 10:45,8.37,11.3
6/27/18 11:00,8.59,11.3
6/27/18 11:15,8.63,11.3
6/27/18 11:30,8.69,11.4
6/27/18 11:45,8.83,11.2
6/27/18 12:00,8.92,11.3
6/27/18 12:15,9.08,11.1
6/27/18 12:30,9.15,11.3
6/27/18 12:45,9.24,11.1
6/27/18 13:00,9.31,11.2
6/27/18 13:15,9.43,11
6/27/18 13:30,9.43,11.3
6/27/18 13:45,9.54,11.3
6/27/18 14:00,9.59,11.3
6/27/18 14:15,9.64,11.2
6/27/18 14:30,9.67,11.2
6/27/18 14:45,9.72,11.2
6/27/18 15:00,9.77,11.2
6/27/18 15:15,9.78,11.2
6/27/18 15:30,9.75,11.2
6/27/18 15:45,9.71,11.2
6/27/18 16:00,9.71,11.2
6/27/18 16:15,9.72,11.2
6/27/18 16:30,9.74,11.2
6/27/18 16:45,9.71,11.2
6/27/18 17:00,9.71,11.2
6/27/18 17:15,9.67,11.2
6/27/18 17:30,9.67,11.2
6/27/18 17:45,9.64,11.2
6/27/18 18:00,9.66,11.2
6/27/18 18:15,9.63,11.3
6/27/18 18:30,9.59,11.3
6/27/18 18:45,9.56,11.3
6/27/18 19:00,9.54,11.1
6/27/18 19:15,9.5,11.1
6/27/18 19:30,9.44,11.2
6/27/18 19:45,9.4,11.2
6/27/18 20:00,9.35,11.2
6/27/18 20:15,9.28,11.2
6/27/18 20:30,9.22,11.2
6/27/18 20:45,9.16,11.3
6/27/18 21:00,9.11,11.3
6/27/18 21:15,9.04,11.3
6/27/18 21:30,9.03,11.3
6/27/18 21:45,8.96,11.3
6/27/18 22:00,8.95,11.3
6/27/18 22:15,8.9,11.3
6/27/18 22:30,8.88,11.2
6/27/18 22:45,8.82,11.4
6/27/18 23:00,8.82,11.4
6/27/18 23:15,8.77,11.2
6/27/18 23:30,8.75,11.2
6/27/18 23:45,8.73,11.2
6/28/18 0:00,8.72,11.2
6/28/18 0:15,8.71,11.2
6/28/18 0:30,8.69,11.2
6/28/18 0:45,8.68,11.3
6/28/18 1:00,8.67,11.3
6/28/18 1:15,8.67,11.3
6/28/18 1:30,8.65,11.3
6/28/18 1:45,8.61,11.3
6/28/18 2:00,8.6,11.3
6/28/18 2:15,8.59,11.3
6/28/18 2:30,8.57,11.3
6/28/18 2:45,8.55,11.3
6/28/18 3:00,8.52,11.3
6/28/18 3:15,8.45,11.3
6/28/18 3:30,8.41,11.3
6/28/18 3:45,8.36,11.4
6/28/18 4:00,8.29,11.4
6/28/18 4:15,8.25,11.4
6/28/18 4:30,8.2,11.4
6/28/18 4:45,8.15,11.3
6/28/18 5:00,8.11,11.4
6/28/18 5:15,8.09,11.3
6/28/18 5:30,8.03,11.5
6/28/18 5:45,8.03,11.3
6/28/18 6:00,7.95,11.5
6/28/18 6:15,7.92,11.3
6/28/18 6:30,7.89,11.3
6/28/18 6:45,7.82,11.4
6/28/18 7:00,7.77,11.5
6/28/18 7:15,7.74,11.4
6/28/18 7:30,7.73,11.4
6/28/18 7:45,7.7,11.3
6/28/18 8:00,7.68,11.3
6/28/18 8:15,7.73,11.2
6/28/18 8:30,7.77,11.2
6/28/18 8:45,7.82,11.2
6/28/18 9:00,7.87,11.2
6/28/18 9:15,7.95,11.3
6/28/18 9:30,8.05,11.3
6/28/18 9:45,8.19,11.4
6/28/18 10:00,8.35,11.2
6/28/18 10:15,8.51,11.3
6/28/18 10:30,8.61,11.3
6/28/18 10:45,8.77,11.2
6/28/18 11:00,8.88,11.2
6/28/18 11:15,8.99,11.2
6/28/18 11:30,9.07,11.3
6/28/18 11:45,9.22,11.2
6/28/18 12:00,9.32,11.2
6/28/18 12:15,9.46,11.3
6/28/18 12:30,9.55,11.3
6/28/18 12:45,9.66,11.2
6/28/18 13:00,9.75,11.2
6/28/18 13:15,9.9,11.2
6/28/18 13:30,10.03,11.1
6/28/18 13:45,10.17,11.2
6/28/18 14:00,10.29,11.1
6/28/18 14:15,10.41,11.3
6/28/18 14:30,10.49,11.3
6/28/18 14:45,10.49,11.1
6/28/18 15:00,10.43,11.2
6/28/18 15:15,10.41,11.3
6/28/18 15:30,10.43,11.3
6/28/18 15:45,10.42,11.3
6/28/18 16:00,10.29,11.1
6/28/18 16:15,10.18,11.2
6/28/18 16:30,10.1,11.3
6/28/18 16:45,10.01,11.1
6/28/18 17:00,10.06,11.4
6/28/18 17:15,10.02,11.1
6/28/18 17:30,10.03,11.1
6/28/18 17:45,10.06,11.1
6/28/18 18:00,9.99,11.1
6/28/18 18:15,9.95,11.2
6/28/18 18:30,9.91,11.2
6/28/18 18:45,9.87,11.2
6/28/18 19:00,9.81,11.2
6/28/18 19:15,9.75,11.2
6/28/18 19:30,9.74,11.2
6/28/18 19:45,9.71,11.2
6/28/18 20:00,9.68,11.1
6/28/18 20:15,9.62,11.3
6/28/18 20:30,9.59,11.1
6/28/18 20:45,9.54,11.3
6/28/18 21:00,9.5,11.1
6/28/18 21:15,9.42,11.3
6/28/18 21:30,9.35,11.3
6/28/18 21:45,9.27,11.2
6/28/18 22:00,9.23,11.2
6/28/18 22:15,9.19,11.2
6/28/18 22:30,9.12,11.3
6/28/18 22:45,9.06,11.3
6/28/18 23:00,9.07,11.1
6/28/18 23:15,9.02,11.1
6/28/18 23:30,9.02,11.1
6/28/18 23:45,8.96,11.2
6/29/18 0:00,8.9,11.2
6/29/18 0:15,8.79,11.4
6/29/18 0:30,8.77,11.2
6/29/18 0:45,8.67,11.3
6/29/18 1:00,8.59,11.3
6/29/18 1:15,8.52,11.3
6/29/18 1:30,8.39,11.3
6/29/18 1:45,8.32,11.2
6/29/18 2:00,8.25,11.2
6/29/18 2:15,8.16,11.4
6/29/18 2:30,8.11,11.3
6/29/18 2:45,8.05,11.4
6/29/18 3:00,8.12,11.3
6/29/18 3:15,8.08,11.3
6/29/18 3:30,8.04,11.3
6/29/18 3:45,7.96,11.3
6/29/18 4:00,7.96,11.2
6/29/18 4:15,7.91,11.3
6/29/18 4:30,7.85,11.2
6/29/18 4:45,7.81,11.2
6/29/18 5:00,7.8,11.2
6/29/18 5:15,7.76,11.2
6/29/18 5:30,7.72,11.3
6/29/18 5:45,7.68,11.3
6/29/18 6:00,7.65,11.1
6/29/18 6:15,7.62,11.3
6/29/18 6:30,7.62,11.3
6/29/18 6:45,7.61,11.3
6/29/18 7:00,7.57,11.3
6/29/18 7:15,7.48,11.2
6/29/18 7:30,7.48,11.2
6/29/18 7:45,7.46,11.2
6/29/18 8:00,7.52,11.2
6/29/18 8:15,7.56,11.1
6/29/18 8:30,7.57,11.3
6/29/18 8:45,7.65,11.3
6/29/18 9:00,7.69,11.3
6/29/18 9:15,7.78,11.1
6/29/18 9:30,7.87,11.2
6/29/18 9:45,7.97,11.2
6/29/18 10:00,8.05,11.1
6/29/18 10:15,8.19,11.1
6/29/18 10:30,8.19,11.3
6/29/18 10:45,8.28,11.1
6/29/18 11:00,8.33,11.1
6/29/18 11:15,8.29,11.2
6/29/18 11:30,8.32,11.2
6/29/18 11:45,8.27,11.2
6/29/18 12:00,8.36,11.2
6/29/18 12:15,8.43,11.2
6/29/18 12:30,8.56,11.1
6/29/18 12:45,8.56,11.3
6/29/18 13:00,8.52,11.3
6/29/18 13:15,8.53,11.1
6/29/18 13:30,8.52,11.2
