Datetime,Temp,EC
6/22/18 15:15,2.7,13.7
6/22/18 15:30,2.43,13.9
6/22/18 15:45,2.24,13.9
6/22/18 16:00,2.4,13.7
6/22/18 16:15,2.38,13.7
6/22/18 16:30,2.32,13.9
6/22/18 16:45,2.12,14
6/22/18 17:00,1.97,14.1
6/22/18 17:15,1.84,14.1
6/22/18 17:30,1.72,14.2
6/22/18 17:45,1.64,14
6/22/18 18:00,1.6,14
6/22/18 18:15,1.57,14.2
6/22/18 18:30,1.5,14.3
6/22/18 18:45,1.45,14.1
6/22/18 19:00,1.38,14.1
6/22/18 19:15,1.35,14.1
6/22/18 19:30,1.29,14.2
6/22/18 19:45,1.23,14.2
6/22/18 20:00,1.22,14.4
6/22/18 20:15,1.19,14.4
6/22/18 20:30,1.18,14.4
6/22/18 20:45,1.12,14.3
6/22/18 21:00,1.1,14.3
6/22/18 21:15,1.08,14.3
6/22/18 21:30,1.02,14.3
6/22/18 21:45,0.98,14.3
6/22/18 22:00,0.96,14.3
6/22/18 22:15,0.93,14.3
6/22/18 22:30,0.91,14.3
6/22/18 22:45,0.89,14.4
6/22/18 23:00,0.87,14.2
6/22/18 23:15,0.87,14.4
6/22/18 23:30,0.86,14.4
6/22/18 23:45,0.86,14.4
6/23/18 0:00,0.88,14.4
6/23/18 0:15,0.9,14.4
6/23/18 0:30,0.93,14.3
6/23/18 0:45,0.93,14.5
6/23/18 1:00,0.91,14.5
6/23/18 1:15,0.9,14.4
6/23/18 1:30,0.89,14.4
6/23/18 1:45,0.89,14.5
6/23/18 2:00,0.88,14.4
6/23/18 2:15,0.86,14.4
6/23/18 2:30,0.84,14.6
6/23/18 2:45,0.82,14.4
6/23/18 3:00,0.8,14.4
6/23/18 3:15,0.8,14.6
6/23/18 3:30,0.81,14.6
6/23/18 3:45,0.8,14.6
6/23/18 4:00,0.8,14.6
6/23/18 4:15,0.77,14.6
6/23/18 4:30,0.76,14.4
6/23/18 4:45,0.76,14.6
6/23/18 5:00,0.76,14.6
6/23/18 5:15,0.79,14.6
6/23/18 5:30,0.8,14.6
6/23/18 5:45,0.81,14.6
6/23/18 6:00,0.82,14.6
6/23/18 6:15,0.84,14.6
6/23/18 6:30,0.88,14.7
6/23/18 6:45,0.94,14.5
6/23/18 7:00,1.01,14.7
6/23/18 7:15,1.08,14.6
6/23/18 7:30,1.18,14.6
6/23/18 7:45,1.35,14.5
6/23/18 8:00,1.45,14.5
6/23/18 8:15,1.57,14.4
6/23/18 8:30,1.62,14.6
6/23/18 8:45,1.52,14.6
6/23/18 9:00,1.57,14.4
6/23/18 9:15,1.42,14.5
6/23/18 9:30,1.39,14.5
6/23/18 9:45,1.4,14.5
6/23/18 10:00,1.43,14.5
6/23/18 10:15,1.5,14.6
6/23/18 10:30,1.55,14.6
6/23/18 10:45,1.8,14.7
6/23/18 11:00,1.92,14.6
6/23/18 11:15,1.9,14.4
6/23/18 11:30,1.83,14.7
6/23/18 11:45,1.98,14.6
6/23/18 12:00,1.8,14.5
6/23/18 12:15,1.86,14.6
6/23/18 12:30,1.81,14.7
6/23/18 12:45,1.98,14.6
6/23/18 13:00,2.06,14.6
6/23/18 13:15,2.12,14.3
6/23/18 13:30,2.41,14.4
6/23/18 13:45,2.68,14.5
6/23/18 14:00,2.56,14.5
6/23/18 14:15,2.26,14.3
6/23/18 14:30,2.33,14.4
6/23/18 14:45,2.48,14.4
6/23/18 15:00,2.14,14.3
6/23/18 15:15,2.09,14.4
6/23/18 15:30,2.05,14.4
6/23/18 15:45,2.04,14.4
6/23/18 16:00,1.98,14.4
6/23/18 16:15,2,14.2
6/23/18 16:30,1.94,14.4
6/23/18 16:45,1.88,14.3
6/23/18 17:00,1.79,14.3
6/23/18 17:15,1.72,14.3
6/23/18 17:30,1.77,14.1
6/23/18 17:45,1.69,14.4
6/23/18 18:00,1.59,14.4
6/23/18 18:15,1.48,14.3
6/23/18 18:30,1.39,14.3
6/23/18 18:45,1.32,14.5
6/23/18 19:00,1.28,14.5
6/23/18 19:15,1.23,14.6
6/23/18 19:30,1.16,14.6
6/23/18 19:45,1.12,14.4
6/23/18 20:00,1.05,14.7
6/23/18 20:15,1.01,14.5
6/23/18 20:30,0.97,14.7
6/23/18 20:45,0.93,14.5
6/23/18 21:00,0.91,14.5
6/23/18 21:15,0.89,14.5
6/23/18 21:30,0.86,14.7
6/23/18 21:45,0.83,14.6
6/23/18 22:00,0.82,14.6
6/23/18 22:15,0.8,14.6
6/23/18 22:30,0.8,14.6
6/23/18 22:45,0.77,14.6
6/23/18 23:00,0.76,14.8
6/23/18 23:15,0.76,14.6
6/23/18 23:30,0.75,14.6
6/23/18 23:45,0.7,14.6
6/24/18 0:00,0.67,14.6
6/24/18 0:15,0.63,14.7
6/24/18 0:30,0.61,14.5
6/24/18 0:45,0.61,14.7
6/24/18 1:00,0.61,14.7
6/24/18 1:15,0.61,14.7
6/24/18 1:30,0.59,14.5
6/24/18 1:45,0.6,14.5
6/24/18 2:00,0.6,14.7
6/24/18 2:15,0.59,14.7
6/24/18 2:30,0.59,14.5
6/24/18 2:45,0.6,14.7
6/24/18 3:00,0.59,14.7
6/24/18 3:15,0.55,14.7
6/24/18 3:30,0.53,14.7
6/24/18 3:45,0.5,14.7
6/24/18 4:00,0.52,14.7
6/24/18 4:15,0.5,14.7
6/24/18 4:30,0.52,14.7
6/24/18 4:45,0.53,14.7
6/24/18 5:00,0.57,14.7
6/24/18 5:15,0.61,14.7
6/24/18 5:30,0.63,14.9
6/24/18 5:45,0.64,14.8
6/24/18 6:00,0.62,14.9
6/24/18 6:15,0.6,14.7
6/24/18 6:30,0.55,14.7
6/24/18 6:45,0.52,14.7
6/24/18 7:00,0.63,14.9
6/24/18 7:15,0.75,14.8
6/24/18 7:30,0.88,14.7
6/24/18 7:45,0.98,14.7
