Datetime,Temp,EC
6/22/18 11:45,5.09,8.4
6/22/18 12:00,5.16,8.3
6/22/18 12:15,5.46,8.3
6/22/18 12:30,5.71,8.2
6/22/18 12:45,5.56,8.4
6/22/18 13:00,5.44,8.3
6/22/18 13:15,5.43,8.4
6/22/18 13:30,5.43,8.6
6/22/18 13:45,5.63,8.4
6/22/18 14:00,5.74,8.5
6/22/18 14:15,5.85,8.3
6/22/18 14:30,5.93,8.3
6/22/18 14:45,6,8.5
6/22/18 15:00,6.05,8.5
6/22/18 15:15,5.92,8.3
6/22/18 15:30,5.82,8.5
6/22/18 15:45,5.73,8.4
6/22/18 16:00,5.75,8.5
6/22/18 16:15,5.71,8.4
6/22/18 16:30,5.59,8.2
6/22/18 16:45,5.55,8.4
6/22/18 17:00,5.51,8.3
6/22/18 17:15,5.48,8.4
6/22/18 17:30,5.44,8.3
6/22/18 17:45,5.39,8.3
6/22/18 18:00,5.35,8.5
6/22/18 18:15,5.35,8.3
6/22/18 18:30,5.31,8.3
6/22/18 18:45,5.27,8.3
6/22/18 19:00,5.24,8.3
6/22/18 19:15,5.21,8.5
6/22/18 19:30,5.2,8.5
6/22/18 19:45,5.16,8.5
6/22/18 20:00,5.15,8.5
6/22/18 20:15,5.12,8.5
6/22/18 20:30,5.06,8.4
6/22/18 20:45,5.01,8.4
6/22/18 21:00,4.96,8.6
6/22/18 21:15,4.9,8.4
6/22/18 21:30,4.85,8.6
6/22/18 21:45,4.81,8.4
6/22/18 22:00,4.73,8.5
6/22/18 22:15,4.69,8.5
6/22/18 22:30,4.62,8.5
6/22/18 22:45,4.58,8.5
6/22/18 23:00,4.54,8.3
6/22/18 23:15,4.5,8.5
6/22/18 23:30,4.48,8.3
6/22/18 23:45,4.47,8.3
6/23/18 0:00,4.47,8.5
6/23/18 0:15,4.48,8.3
6/23/18 0:30,4.47,8.3
6/23/18 0:45,4.47,8.3
6/23/18 1:00,4.46,8.4
6/23/18 1:15,4.44,8.5
6/23/18 1:30,4.44,8.4
6/23/18 1:45,4.43,8.4
6/23/18 2:00,4.42,8.4
6/23/18 2:15,4.4,8.4
6/23/18 2:30,4.39,8.4
6/23/18 2:45,4.38,8.5
6/23/18 3:00,4.32,8.4
6/23/18 3:15,4.29,8.4
6/23/18 3:30,4.27,8.4
6/23/18 3:45,4.25,8.4
6/23/18 4:00,4.25,8.4
6/23/18 4:15,4.23,8.4
6/23/18 4:30,4.21,8.4
6/23/18 4:45,4.21,8.4
6/23/18 5:00,4.2,8.4
6/23/18 5:15,4.2,8.4
6/23/18 5:30,4.2,8.2
6/23/18 5:45,4.21,8.4
6/23/18 6:00,4.2,8.4
6/23/18 6:15,4.21,8.4
6/23/18 6:30,4.21,8.2
6/23/18 6:45,4.23,8.2
6/23/18 7:00,4.27,8.4
6/23/18 7:15,4.31,8.2
6/23/18 7:30,4.36,8.4
6/23/18 7:45,4.4,8.2
6/23/18 8:00,4.48,8.2
6/23/18 8:15,4.56,8.2
6/23/18 8:30,4.67,8.3
6/23/18 8:45,4.73,8.3
6/23/18 9:00,4.84,8.3
6/23/18 9:15,4.93,8.2
6/23/18 9:30,5.08,8.2
6/23/18 9:45,5.25,8.3
6/23/18 10:00,5.31,8.3
6/23/18 10:15,5.28,8.3
6/23/18 10:30,5.38,8.3
6/23/18 10:45,5.62,8.2
6/23/18 11:00,5.77,8.4
6/23/18 11:15,5.83,8.3
6/23/18 11:30,6.05,8.3
6/23/18 11:45,6.11,8.4
6/23/18 12:00,6.01,8.5
6/23/18 12:15,6.06,8.4
6/23/18 12:30,6.16,8.4
6/23/18 12:45,6.21,8.4
6/23/18 13:00,6.31,8.4
6/23/18 13:15,6.24,8.6
6/23/18 13:30,6.19,8.4
6/23/18 13:45,6.35,8.4
6/23/18 14:00,6.44,8.4
6/23/18 14:15,6.48,8.3
6/23/18 14:30,6.42,8.4
6/23/18 14:45,6.36,8.2
6/23/18 15:00,6.11,8.3
6/23/18 15:15,5.96,8.3
6/23/18 15:30,6.06,8.3
6/23/18 15:45,6,8.3
6/23/18 16:00,5.94,8.3
6/23/18 16:15,5.89,8.3
6/23/18 16:30,5.79,8.4
6/23/18 16:45,5.75,8.4
6/23/18 17:00,5.71,8.4
6/23/18 17:15,5.63,8.4
6/23/18 17:30,5.59,8.2
6/23/18 17:45,5.5,8.3
6/23/18 18:00,5.47,8.4
6/23/18 18:15,5.48,8.6
6/23/18 18:30,5.43,8.4
6/23/18 18:45,5.38,8.5
6/23/18 19:00,5.31,8.5
6/23/18 19:15,5.21,8.5
6/23/18 19:30,5.11,8.5
6/23/18 19:45,4.98,8.4
6/23/18 20:00,4.9,8.4
6/23/18 20:15,4.85,8.6
6/23/18 20:30,4.85,8.4
6/23/18 20:45,4.82,8.6
6/23/18 21:00,4.79,8.6
6/23/18 21:15,4.74,8.6
6/23/18 21:30,4.71,8.6
6/23/18 21:45,4.69,8.6
6/23/18 22:00,4.66,8.6
6/23/18 22:15,4.62,8.6
6/23/18 22:30,4.59,8.5
6/23/18 22:45,4.58,8.5
6/23/18 23:00,4.52,8.5
6/23/18 23:15,4.5,8.5
6/23/18 23:30,4.5,8.5
6/23/18 23:45,4.47,8.5
6/24/18 0:00,4.43,8.5
6/24/18 0:15,4.42,8.4
6/24/18 0:30,4.42,8.4
6/24/18 0:45,4.4,8.5
6/24/18 1:00,4.39,8.5
6/24/18 1:15,4.38,8.4
6/24/18 1:30,4.36,8.5
6/24/18 1:45,4.35,8.5
6/24/18 2:00,4.35,8.5
6/24/18 2:15,4.34,8.4
6/24/18 2:30,4.34,8.5
6/24/18 2:45,4.34,8.5
6/24/18 3:00,4.34,8.4
6/24/18 3:15,4.31,8.4
6/24/18 3:30,4.27,8.4
6/24/18 3:45,4.23,8.4
6/24/18 4:00,4.2,8.4
6/24/18 4:15,4.19,8.4
6/24/18 4:30,4.16,8.4
6/24/18 4:45,4.16,8.4
6/24/18 5:00,4.16,8.4
6/24/18 5:15,4.16,8.4
6/24/18 5:30,4.16,8.4
6/24/18 5:45,4.16,8.4
6/24/18 6:00,4.16,8.4
6/24/18 6:15,4.15,8.4
6/24/18 6:30,4.15,8.4
6/24/18 6:45,4.16,8.4
6/24/18 7:00,4.15,8.4
6/24/18 7:15,4.17,8.4
6/24/18 7:30,4.2,8.4
6/24/18 7:45,4.24,8.6
6/24/18 8:00,4.31,8.2
6/24/18 8:15,4.35,8.4
6/24/18 8:30,4.43,8.4
6/24/18 8:45,4.51,8.2
6/24/18 9:00,4.62,8.3
6/24/18 9:15,4.74,8.3
6/24/18 9:30,4.84,8.1
6/24/18 9:45,4.88,8.2
6/24/18 10:00,4.82,8.3
6/24/18 10:15,5.12,8.2
6/24/18 10:30,5.15,8.2
6/24/18 10:45,5.16,8.3
6/24/18 11:00,4.94,8.2
6/24/18 11:15,4.77,8.3
